"","AKT","BAD","BCL2_T","BIM_T","ESR1","FOXA1","FOXO3","HER2","HER3_T","IGF1R_T","KMT2D","MAPK","MCL1","mTORC1","MYC","PBX1","PDK1","PI3K","PRAS40","pRb","PTEN","S6K","SGK1_T","mTORC2","CDK46","cycE_CDK2_T","cyclinD","E2F","EIF4F","p21_p27_T","PIM","RAS","TSC"
"MB-0079",0.314830196835777,0.621573992976075,0.161253660817519,0.385917788540451,8.36588181699631e-05,0.251668221470479,0.171345232625387,0.137787682397301,0.129323003277525,0.115195429594563,0.717661378995515,0.91559191976834,0.577118406922176,0.159174280273652,0.465989986099276,0.493377535256905,0.19627066093614,0.98278648448253,0.789558663372983,0.750696664105713,0.389187333080184,0.304355163151199,0.730702428950942,0.159174280273652,0.653061144765661,0.755336102577559,0.202935621968001,0.551948221476061,0.508944679467453,0.665878062007088,0.549114776300749,0.274931913445241,0.248736350987694
"MB-0081",0.124856018475277,0.633006333485427,0.413335891529713,0.799045488140404,0.988119717135057,0.211365272941881,0.161545827544018,0.084474382192427,0.026683815493045,0.338043479124267,0.773864986003009,0.930553669370398,0.575229828255329,0.094318744999195,0.278058851540756,0.251306478464423,0.071454578488981,0.997600507157671,0.601036904358148,0.835896299227646,0.847607010260183,0.745671006114004,0.425134770636941,0.094318744999195,0.398811956763639,0.389177272050119,0.352053319572176,0.506145268093705,0.384586932411735,0.85860463005103,0.575218646872022,0.569444880994226,0.252176411892469
"MB-0083",0.347663274903553,0.538734033229637,0.380964304599926,0.4513271315023,0.999904852350224,0.383219469116109,0.165475162536042,0.138777203667442,0.176904959933759,0.40817308370661,0.741245664536388,0.306914861587319,0.721029517078021,0.0530991328804395,0.327588280920421,0.193371560598182,0.140176225311311,0.985912927854615,0.455306510478727,0.87973281596883,0.586427530361161,0.723596600290001,0.730746009335731,0.0530991328804395,0.530134902219095,0.563830171856899,0.361301689201585,0.479775658809266,0.43188790831345,0.676313218682215,0.45592979932365,0.528914106197575,0.229532920032857
"MB-0093",0.279549423373676,0.767290341588536,0.46511236036118,0.519715936117284,0.840439710314077,0.359733317962033,0.108441434782481,0.232809534229718,0.128495128902535,0.502422812722031,0.760727507013198,0.89358892500607,0.744018790332087,0.23454736842207,0.279364549935302,0.584301949520127,0.047697274779914,0.992861821031649,0.316506146221973,0.950233728733917,0.711983573216974,0.660383212313063,0.93345278466317,0.23454736842207,0.602186982521313,0.503605486145344,0.305583918977684,0.442717735550785,0.411298489981515,0.733000413383833,0.591819211863312,0.57098188496881,0.188604383624292
"MB-0095",0.588520538347864,0.803536487050063,0.512402960080097,0.553791318646921,0.999998874756786,0.700728111681273,0.355186809843727,0.379064069608062,0.536612494718179,0.761532233040583,0.54781253778259,0.604594942254529,0.652214823261677,0.351577048637585,0.544439932217192,0.620063197685599,0.564999630487168,0.372177058091507,0.759798672714381,0.68352036245986,0.246410597295113,0.320078641740029,0.617364874023459,0.351577048637585,0.336866032242314,0.43281448969663,0.425376535520481,0.463201433958418,0.467939757212501,0.300885265217603,0.439627303689473,0.360222241305873,0.531348322914089
"MB-0097",0.560178203711196,0.578166572163385,0.641247795761958,0.596693053396101,0.999999970208587,0.817767086403076,0.384446784016409,0.344032934137461,0.853541476245255,0.595371014804656,0.45484448929396,0.322773869729985,0.92237058655738,0.197512585726439,0.558094779041387,0.987702186825851,0.971571129068965,0.412961170429821,0.726323658932116,0.698664614558836,0.453702185724848,0.877787877725322,0.239917916911597,0.197512585726439,0.423071436064328,0.47261966071203,0.370418897521228,0.391997856645739,0.48896206119317,0.238432403788796,0.553532448334418,0.540400481916482,0.733858062275286
"MB-0100",0.451524977592374,0.196578316980699,0.44760500618008,0.519383761164042,5.11614876637353e-05,0.000292126112616833,0.691587558259155,0.112191168493564,0.110316510597884,0.467108371891528,0.48257076259531,0.856992040282175,0.381868825907426,0.515464235605283,0.722210049944407,0.223686870798846,0.346074278661768,0.71100496782102,0.437632097601504,0.0943138570045592,0.320625996869259,0.353227658598265,0.527876639231378,0.515464235605283,0.833790216486193,0.822651572420249,0.398861089624409,0.658028699123675,0.574171168830548,0.707937995380123,0.745072176330834,0.28852373016725,0.315941304072576
"MB-0101",0.598559412787888,0.814027168165239,0.366941489864193,0.317103649449416,0.942180320569316,0.292991127802309,0.214986888213885,0.160727121580147,0.549584575553679,0.40041771959395,0.704647259827864,0.776803545423146,0.807340295713397,0.382355610576512,0.601335913865052,0.594229063172037,0.611436402814312,0.262750573850281,0.534400154593421,0.572081013920115,0.449730652327235,0.35544408291995,0.870470896079564,0.382355610576512,0.552734069896484,0.27909585617958,0.525110599314074,0.43514793959576,0.416297796581546,0.419154589596351,0.390037160150011,0.541858553332851,0.485849842122226
"MB-0102",0.955315291467091,0.527726510497112,0.372001697071466,0.419643982921711,0.999138790417588,0.375886368012113,0.100922852920808,0.334133266464624,0.288091696050146,0.384473749071005,0.2407112329137,0.559970585815305,0.699329647191095,0.569683863068921,0.478207214446359,0.536220977702603,0.436503080187304,0.528580005605074,0.818809438116366,0.370317602404,0.672777769782882,0.225663133784485,0.366685766305079,0.569683863068921,0.538507755823735,0.601586320917492,0.438303224201663,0.473194298630101,0.453492040029929,0.409740431780768,0.722662974306297,0.605871941456356,0.276050358775496
"MB-0106",0.392581524690486,0.521103552319399,0.654772108738468,0.509925627285882,0.999151015782188,0.668126777977585,0.641373774832823,0.701776789661119,0.674075789624246,0.429135104908631,0.795825096772945,0.233805601861229,0.630007267943387,0.490660147030481,0.68668298251857,0.651991609538493,0.547172424493511,0.526887448978715,0.449406829732283,0.489021179002451,0.317041322294462,0.385611737066973,0.754919147540623,0.490660147030481,0.631185386367772,0.243126646536066,0.464688027245794,0.32171719913506,0.459342697983945,0.656214268404635,0.453432528480309,0.343949037444839,0.719798009380761
