"","AKT","AMPK","BAD","Bak","BAX","BCL2","Bcl_XL","beta_catenin","Caspase8","Caspase9","CHK1_2","E_cadherin","eEF2","eEF2K","ERK1_2","GSK_3","JNK","mTOR","MYC","NF_kB","p14ARF","p21","p53","p70S6kab","p90RSK","PDK1","PI3K","PKC","PTEN","Snail","TSC1_2","Rb","p27","CyclinB","CyclinD","CyclinE","Dsh","Raf","Ras","RTK","Smad2_3_Smad4"
"TCGA-A2-A0D0-01",0.381028318173349,0.0582545935152527,0.459610169879084,0.480018709662538,0.90773811816246,0.15707302329431,0.82837547034555,0.415916975427656,0.581544298404593,NA,0.957521523932039,0.425513126256724,0.621501881356646,0.295939127837257,0.0423931492519787,0.167367489508597,0.252197859069233,0.227197965968669,0.236031114308517,0.0956345525213102,0.972119745592539,0.384390111400407,0.620517808971752,0.0924881761419281,0.218181086941519,0.401805196311323,0.634456620299147,0.160197708456972,0.451621920503409,0.958881823257691,0.0734830959444289,0.44790719792249,0.286000628098078,0.882963018053576,0.312567564459167,0.865433936566687,0.632849346397471,0.436741086493795,0.623252498592093,0.226202321095447,0.477536808450313
"TCGA-A2-A0D2-01",0.230594728256604,0.578384194084887,0.228448661911698,0.492279589590946,0.583751907476843,0.184692077409163,0.375518561460453,0.475757530106726,0.672017325561957,NA,0.843039992426277,0.34923934577095,0.535818508441159,0.10069190095569,0.353919088320711,0.214679596852009,0.327289924747987,0.109885044326059,0.661621558962565,0.634896853854331,0.858179745655643,0.548018372319954,0.628792978713065,0.322446695052389,0.486620113370282,0.130439580168821,0.488475997879771,0.74247630081566,0.350078362454545,0.909385030734682,0.126327967136495,0.182160296954613,0.30648889703335,0.852435073787157,0.663610884826382,0.680903166582724,0.455097631533446,0.640560726302266,0.832966067238712,0.289002010027149,0.547814779893231
"TCGA-A2-A0D3-01",0.487378900670596,0.7135551023552,0.440459451587938,0.349458590586705,0.398484555872134,0.675917993122161,0.327322703009834,0.657105379958462,0.337388125569844,NA,0.53415179465091,0.694180747334621,0.799285813355236,0.940512755086041,0.467805228566898,0.785342387311705,0.454182050089805,0.839327818343644,0.518585622055511,0.297483301560367,0.735136317786298,0.233605868436379,0.616025417967813,0.371100242700033,0.604020027319791,0.755075908291888,0.208380383584509,0.447780085476165,0.523765791262616,0.286600362857843,0.847560092805107,0.508696196707599,0.616053887840554,0.434148994556659,0.317844466887367,0.330448761484954,0.553478850170167,0.569279784885452,0.311201093551859,0.573239759122272,0.355101473450583
"TCGA-A2-A0D4-01",0.200764184482151,0.717898054290131,0.759456455216142,0.268647296895742,0.306550099692478,0.618450941361046,0.628325792225858,0.787196347369906,0.278138872885423,NA,0.49691875093671,0.880208965791517,0.201429194990403,0.808410328101922,0.209693515796409,0.949052370043677,0.529852785417611,0.833444383800027,0.237801912158477,0.46253846677618,0.259111608420034,0.0950211133714193,0.293918366269037,0.483030298706544,0.493979280163326,0.699282201919504,0.894207532527861,0.323551991762933,0.491638196410052,0.180233732430537,0.966683211183139,0.229738090509619,0.484869310857765,0.650556991799863,0.651753674109515,0.51424566332657,0.536011584880589,0.535589582141202,0.47174637557403,0.562891517290381,0.574259803171053
"TCGA-A2-A0EO-01",0.718514604996129,0.650794345333314,0.786976678289639,0.436704231891728,0.550264921792521,0.350055995340319,0.476258844300255,0.607392488484865,0.368883668133229,NA,0.305991402062317,0.558463229317503,0.439352714912841,0.651343188320766,0.932793409072886,0.667822997109658,0.828366229538427,0.788734580007031,0.700398373883373,0.584649579489888,0.854921433301243,0.810208846943407,0.604999640986862,0.323437086779042,0.523088570520835,0.335487627798167,0.427557637100954,0.742536949997307,0.587860706548141,0.483600385879227,0.509109788101605,0.486556841090425,0.395880924530276,0.37017713096562,0.403193628658478,0.27097097697815,0.585714711589052,0.345773783291147,0.238911184359056,0.697832442405205,0.350069004332644
"TCGA-A2-A0EP-01",0.872218112303026,0.638134333357007,0.412764127009058,0.19246724048724,0.197733373113209,0.481605388238243,0.560466709224879,0.0653886527867865,0.908103866142846,NA,0.0887616034457642,0.0595856489355795,0.234507289640835,0.38014724817797,0.924856556181318,0.503478069875506,0.840085213178105,0.457375034609073,0.859388523164099,0.343035937529301,0.177669377988305,0.309592329958049,0.122197629251169,0.774284548168955,0.818836423722221,0.695240084579561,0.686480456872207,0.538898531953435,0.0685396430077566,0.84182643983594,0.26163973306818,0.415451448911486,0.758927891220501,0.337996823998091,0.697796947122639,0.228529582821479,0.0618328208255871,0.354152363541751,0.0994473904663759,0.253431114937996,0.0872259997774898
"TCGA-A2-A0EQ-01",0.557041774737689,0.353117323970577,0.345081736652978,0.285208331969364,0.44439983642514,0.679278413842177,0.364141571407588,0.353779283219323,0.392024251961573,NA,0.582947834599303,0.451379190987896,0.90026338775611,0.636312156597695,0.170318399471729,0.735783630647069,0.45839799813119,0.788342255340235,0.421992958776708,0.643411044301223,0.329981703599581,0.317918195283623,0.700240778679663,0.524263470160404,0.442507277006574,0.628123286212218,0.420901483808966,0.418358534138134,0.74015886781192,0.320185377428174,0.640977304479145,0.819192906280266,0.62610293758276,0.63520384362093,0.335832694319418,0.502529778976429,0.5258011001046,0.464371426784049,0.371856676649307,0.359383296959698,0.397709379490674
"TCGA-A2-A0ER-01",0.640675866852746,0.233991382464361,0.45390799671974,0.79388150333365,0.0888986096234708,0.507650593941642,0.152234000603077,0.367015406107467,0.855675273329736,NA,0.81905479461936,0.442765719051459,0.023603274026642,0.15092462815761,0.449713065914368,0.206425403111028,0.82968060467709,0.240536701253486,0.841900947985879,0.279720674030839,0.207671945190634,0.342767594223167,0.745308720100713,0.605851875986384,0.446632592127002,0.215711505297093,0.103463335261721,0.724676859798615,0.146482599082336,0.921607522433771,0.233658929737744,0.533871798044371,0.494200833462871,0.215931853770663,0.824331771456884,0.496615256338359,0.107375066393343,0.279103201985806,0.953158623913879,0.673544577366362,0.733732103109383
"TCGA-A2-A0ES-01",0.37589392204539,0.670519074687662,0.346802266293563,0.66312333412742,0.225097606697653,0.449106167432116,0.217923201019367,0.361088164945479,0.851801616881448,NA,0.544079242496624,0.403406445491177,0.0181162932804729,0.292674990138335,0.41130434621883,0.24037694537336,0.653950625084652,0.392757878959056,0.718194115738323,0.238197944484915,0.466391305292072,0.32175288378912,0.599935899551003,0.0755774008548399,0.513669534294358,0.325191175478835,0.225012740789851,0.433248502578698,0.219673268592023,0.98342839063121,0.441403283208588,0.793866808942183,0.457891383129578,0.208541570969257,0.67721532872841,0.384708088786607,0.283991718571337,0.370639720993819,0.703922054267737,0.685370379093436,0.591413552674159
"TCGA-A2-A0EU-01",0.568752362309141,0.155968095395052,0.754185320577719,0.832668054047266,0.893494367794511,0.508403501231116,0.694658567586764,0.290238424990641,0.942793856642385,NA,0.451233185473491,0.436116958583807,0.0519151382607988,0.170202617512707,0.559657413113067,0.347538146745213,0.848348109511118,0.462337888467186,0.572878538568075,0.387065799628201,0.400916319815495,0.706448814188042,0.519844173268592,0.631133601106496,0.134053818435085,0.873302800835911,0.287190178746793,0.432831603011394,0.0720687274188657,0.925053201016863,0.237227771510532,0.686728715071727,0.135022603242124,0.44934070272884,0.846624061647176,0.6774648493354,0.0286494889572657,0.260401131499677,0.664885438540937,0.650183558009883,0.705533545402245
