HGNC ID	Approved Symbol	Entrez Gene ID
744	ASH2L	9070
745	ASIP	434
746	ASL	435
747	ASLP1	436
750	ASMT	438
751	ASMTL	8623
752	ASNA1	439
753	ASNS	440
754	ASNSP1	389652
755	ASNSP2	442
756	ASPA	443
757	ASPH	444
758	ASS1	445
759	ASS1P1	442167
760	ASS1P10	455
761	ASS1P11	340274
762	ASS1P12	392302
763	ASS1P13	341230
764	ASS1P14	459
765	ASS1P2	447
766	ASS1P3	158452
767	ASS1P4	449
768	ASS1P5	450
769	ASS1P6	451
770	ASS1P7	339845
771	ASS1P8	453
772	ASS1P9	454
773	ASTN1	460
775	SERPINC1	462
777	ZFHX3	463
779	ATCAY	85300
780	ATD	
782	ATE1	11101
783	ATF1	466
784	ATF2	1386
785	ATF3	467
786	ATF4	468
787	ATF4P4	100127952
788	ATF4P3	643159
789	ATF4P1	469
790	ATF5	22809
791	ATF6	22926
792	ATF7	11016
793	ATHS	
794	ATIC	471
795	ATM	472
797	ATOH1	474
798	ATOX1	475
799	ATP1A1	476
800	ATP1A2	477
801	ATP1A3	478
804	ATP1B1	481
805	ATP1B2	482
806	ATP1B3	483
807	ATP1B3P1	484
808	ATP1B4	23439
809	ATP1B1P1	485
811	ATP2A1	487
812	ATP2A2	488
813	ATP2A3	489
814	ATP2B1	490
815	ATP2B2	491
816	ATP2B3	492
817	ATP2B4	493
819	ATP4A	495
820	ATP4B	496
823	ATP5A1	498
827	ATP5A1P1	442416
828	ATP5A1P2	504
829	ATP5A1P3	645443
830	ATP5B	506
831	ATP5BP1	507
833	ATP5C1	509
834	ATP5C1P1	645560
837	ATP5D	513
838	ATP5E	514
839	ATP5EP1	23744
840	ATP5F1	515
841	ATP5G1	516
842	ATP5G2	517
843	ATP5G3	518
844	ATP5G2P1	520
845	ATP5H	10476
846	ATP5I	521
847	ATP5J	522
848	ATP5J2	9551
849	ATP5J2LP	101241877
850	ATP5O	539
851	ATP6V1A	523
853	ATP6V1B1	525
854	ATP6V1B2	526
855	ATP6V0C	527
856	ATP6V1C1	528
857	ATP6V1E1	529
858	ATP6V1E1P3	729435
859	ATP6V1E1P1	343515
860	ATP6V1E1P2	100462844
861	ATP6V0B	533
862	ATP6V1G2	534
863	ATP6V0E1	8992
864	ATP6V1G1	9550
865	ATP6V0A1	535
866	ATP6V0A4	50617
868	ATP6AP1	537
869	ATP7A	538
870	ATP7B	540
871	ATPIF1	93974
877	ALDH7A1	501
878	ALDH7A1P1	541
879	ALDH7A1P2	542
880	ALDH7A1P3	543
881	ALDH7A1P4	544
882	ATR	545
885	ATRN	8455
886	ATRX	546
888	KIF1A	547
890	AUH	549
891	AUP1	550
892	AUTS1	
894	AVP	551
895	AVPR1A	552
896	AVPR1B	553
897	AVPR2	554
903	AXIN1	8312
904	AXIN2	8313
905	AXL	558
908	AZF1	560
910	AZGP1	563
911	AZGP1P1	646282
912	AZGP1P2	401393
913	AZU1	566
914	B2M	567
915	B2MR	568
916	B3GALT1	8708
917	B3GALT2	8707
918	B3GALNT1	8706
919	B3GALT4	8705
920	B3GALT5	10317
921	B3GAT1	27087
922	B3GAT2	135152
923	B3GAT3	26229
924	B4GALT1	2683
925	B4GALT2	8704
926	B4GALT3	8703
927	B4GALT4	8702
928	B4GALT5	9334
929	B4GALT6	9331
930	B4GALT7	11285
932	BAAT	570
933	BACE1	23621
934	BACE2	25825
935	BACH1	571
936	BAD	572
937	BAG1	573
938	BAG2	9532
939	BAG3	9531
940	BAG4	9530
941	BAG5	9529
942	BAGE	574
943	ADGRB1	575
944	ADGRB2	576
945	ADGRB3	577
946	MAGI1	9223
947	BAIAP2	10458
948	BAIAP3	8938
949	BAK1	578
950	BAP1	8314
951	NKX3-2	579
952	BARD1	580
953	BARHL1	56751
954	BARHL2	343472
955	BARX1	56033
956	BARX2	8538
957	BASP1	10409
958	BATF	10538
959	BAX	581
960	BAZ1A	11177
961	BAZ1B	9031
962	BAZ2A	11176
963	BAZ2B	29994
964	BBOX1	8424
966	BBS1	582
967	BBS2	583
969	BBS4	585
970	BBS5	129880
971	BCAR1	9564
973	BCAR3	8412
974	BCAS1	8537
975	BCAS2	10286
976	BCAT1	586
977	BCAT2	587
978	BCCIP	56647
983	BCHE	590
986	BCKDHA	593
987	BCKDHB	594
989	BCL10	8915
990	BCL2	596
991	BCL2A1	597
992	BCL2L1	598
993	BCL2L10	10017
994	BCL2L11	10018
995	BCL2L2	599
996	BAK1P1	600
997	BAK1P2	601
998	BCL3	602
1000	BCL5	
1001	BCL6	604
1002	BCL6B	255877
1004	BCL7A	605
1005	BCL7B	9275
1006	BCL7C	9274
1007	NBEAP1	606
1008	BCL9	607
1012	OPN1SW	611
1014	BCR	613
1015	BCRP2	400892
1016	BCRP3	644165
1017	BCRP4	616
1018	BCRP5	648980
1020	BCS1L	617
1022	BCYRN1	618
1023	BCYRN1P1	619
1024	BCYRN1P2	620
1027	BDH1	622
1029	BDKRB1	623
1030	BDKRB2	624
1033	BDNF	627
1034	BECN1	8678
1036	BEX1	55859
1037	CFB	629
1040	BFSP1	631
1041	BFSP2	8419
1043	BGLAP	632
1044	BGN	633
1046	BHLHE40	8553
1047	BHMT	635
1048	BHMT2	23743
1049	BICD1	636
1050	BID	637
1051	BIK	638
1052	BIN1	274
1053	BIN2	51411
1054	BIN3	55909
1055	BLCAP	10904
1057	BLK	640
1058	BLM	641
1059	BLMH	642
1060	CXCR5	643
1062	BLVRA	644
1063	BLVRB	645
1065	BLZF1	8548
1066	BMI1	648
1067	BMP1	649
1068	BMP15	9210
1069	BMP2	650
1070	BMP3	651
1071	BMP4	652
1072	BMP5	653
1073	BMP6	654
1074	BMP7	655
1075	BMP8B	656
1076	BMPR1A	657
1077	BMPR1B	658
1078	BMPR2	659
1079	BMX	660
