n_profile Patient_ID Time E2F Hypoxia p53_PTEN IKK VEGF GSK_3_APC_AXIN Bcl_XL PIP3 PI3K Nutrients TH
494 MB-5455 19.98 0.419307 0.495 0 0.930462 0.415 0 0.544 1 0.983237 0.493 0.0031
495 MB-4317 19.99 0.877 0.495 0 0.996 0.46 0.717754 1 0.997 0.996 0.493 0.0018
496 MB-0260 19.98 0.004 0.495 0.661 0.145 0.756 0.988 0.163903 0.282 0.681 0.493 0.0306
497 MB-0492 19.98 0.004 0.495 0.851 0.189 0.846747 0.956 0.056 0.084 0.482 0.493 0.0161
498 MB-6163 19.98 0.11 0.495 0.44 0.35 0.402 0.632992 0.284 0.564 1 0.493 0.0127
499 MB-6273 19.99 0.201 0.495 0 0.993 0.565 0.038981 1 1 1 0.493 0.0013
500 MB-5395 19.98 0.021 0.495 0.701 0.684 0.596 0.819 0.315 0.295 1 0.493 0.0186
501 MB-0594 19.99 0.005 0.495 0.401 0.26 0.358 0.34 0.527 0.599 1 0.493 0.0433
502 MB-5486 19.98 0.22214 0.495 0.935 0.142 0.528097 0.856 0.058 0.065 1 0.493 0.0114
503 MB-4663 19.99 0.36 0.495 0 0.936 0.794 0.216 1 1 1 0.493 0.0011
504 MB-0340 19.98 0.608 0.495 0 0.915 0.728 0.216 0.266 0.815 0.735 0.493 0.1648
505 MB-6101 19.98 0.273 0.495 0.68 0.426 0.76 0.356433 0.726 0.322 1 0.493 0.0407
506 MB-5098 19.99 0.029 0.495 0.241 0.513 0.258 0.924589 0.827 0.722 0.61896 0.493 0.0165
507 MB-4670 19.99 0.645193 0.495 0.636 0.282 0.316 0.239 0.346 0.235 0.516 0.493 0.0147
508 MB-7024 19.98 0.365 0.495 0.873 0.054 0.687032 0.782 0.821 0.082 0.621 0.493 0.0374
509 MB-4931 19.99 0.934 0.495 0 0.647 0.661 0.816 0.644 0.693 0.713 0.493 0.1116
510 MB-7254 19.98 0.004 0.495 0.971 0.173 0.637 0.351 0.027 0.025 1 0.493 0.0035
511 MB-7262 19.99 0.537 0.495 0 0.837 0.612 0.822 0.893 0.693 0.681 0.493 0.0157
512 MB-5266 19.99 0.72 0.495 0 0.948 0.554 0 0.997 0.79 0.599 0.493 0.0034
513 MB-6071 19.98 0.018 0.495 0.816 0.248 0.566979 0.984 0.214 0.178 1 0.493 0.0092
514 MB-3752 19.99 0.439 0.495 0 0.904 0.651 0.296 0.976 0.773 0.787 0.493 0.0416
515 MB-5433 19.98 0.138 0.495 0.698 0.211 0.158 0.636 0.302 0.173 0.517 0.493 0.0294
516 MB-2814 19.98 0.059 0.495 0.801 0.567 0.516 0.837 0.117 0.106 0.481599 0.493 0.0098
517 MB-5323 19.98 0.342845 0.495 0.675 0.587 0.546 0.74 0.331 0.31 0.931 0.493 0.0132
518 MB-5200 19.98 0.509 0.495 0.935 0.305413 0.621 0.328 0.065 0.063 1 0.493 0.0109
519 MB-5489 19.98 0.229652 0.495 0.468 0.565 0.664 0.833 0.521 0.536 1 0.493 0.0095
520 MB-0372 19.99 0.518 0.495 0 0.753 0.536 0.841 0.495 0.965 0.969 0.493 0.0716
521 MB-2513 19.98 0.107 0.495 0 0.883 0.576 0.72 1 1 1 0.493 0.0016
522 MB-5164 19.98 0.539 0.495 0.502 0.813 0.679 0.719934 0.778298 0.379 0.801312 0.493 0.0725
523 MB-5493 19.99 0.155 0.495 0 0.979 0.816 0.238 1 1 1 0.493 0.0028
524 MB-4843 19.98 0.007 0.495 0.813 0.521 0.542 0.866 0.177 0.181 1 0.493 0.0058
525 MB-6065 19.99 0.616 0.495 0.37 0.685 0.274095 0 0.631 0.636 1 0.493 0.0111
526 MB-2793 19.98 0 0.495 0.538 0.375321 0.459 0.821 0.405 0.472 1 0.493 0.0182
527 MB-3395 19.98 0.145 0.495 0 0.918 0.812 0.827 0.515 0.906 0.887 0.493 0.0654
528 MB-7091 19.98 0.099 0.495 0 0.972 0.288 0.349 0.963 1 1 0.493 0.0015
529 MB-6271 19.99 0.046 0.495 0 0.538944 0.356 0.853986 0.975 0.502 0.503 0.493 0.0059
530 MB-4235 19.99 0.741 0.495 0.935 0.321 0.47 0.978 0.265 0.068 1 0.493 0.0093
531 MB-5169 19.98 0.001 0.495 0.932 0.293 0.55 0.994 0.249 0.065 1 0.493 0.0076
532 MB-4994 19.98 0.02 0.495 0.717 0.247 0.229 0.931 0.092 0.179 0.531 0.493 0.014
533 MB-4708 19.98 0.007 0.494999 0.661999 0.521999 0.273577 0.131 0.341455 0.34 0.999999 0.492999 0.0077
534 MB-4829 19.98 0.005 0.495 0.859 0.376 0.559205 0.816 0.341 0.132 1 0.493 0.0082
535 MB-7244 19.98 0.006 0.495 0.85 0.373 0.552 0.444 0.15 0.148 1 0.493 0.0052
536 MB-6007 19.98 0.581 0.495 0 0.896 0.59 0.945 1 1 1 0.493 0.0063
537 MB-0618 19.98 0.021 0.495 0.487 0.544 0.688 0.709 0.13 0.524 1 0.493 0.0149
538 MB-4717 19.99 0.159 0.495 0 0.921 0.307 0.617 0.38 0.65809 0.647 0.493 0.0607
539 MB-4735 19.98 0.021 0.495 0.444 0.42 0.48 0.364 0.821 0.26 0.446 0.493 0.0288
540 MB-5478 19.98 0.002 0.495 0.456 0.516 0.714 0.884 0.482701 0.546 1 0.493 0.0293
541 MB-7276 19.99 0.02704 0.495 0.879 0.138385 0.198 0.252 0.115 0.119 1 0.493 0.0241
542 MB-0424 19.98 0 0.495 0.647 0.525 0.834281 0.998 0.319671 0.344 0.916 0.493 0.0148
543 MB-3058 19.98 0.007 0.495 0.577 0.59 0.663002 0.906 0.338 0.424 0.977 0.493 0.0167
544 MB-2867 19.98 0.314 0.495 0.471 0.573 0.662 0.652478 0.310072 0.519 0.954 0.493 0.0302
545 MB-2767 19.98 0.065 0.495 0 0.508 0.785674 0.492 0.058 1 0.775 0.493 0.0059
546 MB-5605 19.98 0.035 0.495 0.671 0.334146 0.55 0.729 0.059 0.331 0.651 0.493 0.0086
547 MB-5284 19.98 0.067 0.495 0.513 0.621 0.783 0.868 0.576 0.493 1 0.493 0.0057
548 MB-0512 19.98 0.012 0.495 0.846 0.277 0.652 0.837 0.149 0.149 1 0.493 0.0044
549 MB-4894 19.99 0.759 0.495 0 0.909 0.363 0.231 0.949 0.59 0.583 0.493 0.0218
550 MB-7155 19.99 0.156 0.495 0 0.94 0.493374 0.92 0.743 0.997 0.997 0.493 0.0572
551 MB-3171 19.98 0.022 0.495 0.382 0.515896 0.699 0.863 0.497 0.62172 1 0.493 0.0117
552 MB-0318 19.99 0.05 0.495 0.986 0.066 0.248 0.993 0.008 0.011 0.835 0.493 0.0031
553 MB-7149 19.99 0.803 0.495 0.808 0.27 0.651 0.715 0.149754 0.064 0.317 0.493 0.017
554 MB-5101 19.99 0.251 0.495 0 0.794724 0.846 0.276 0.987 0.842 0.822 0.493 0.0085
555 MB-2795 19.98 0 0.495 0.85 0.129 0.783 0.879 0.036 0.154 0.956 0.493 0.0067
556 MB-7032 19.98 0.378 0.495 0.653 0.361 0.361 0.919 0.345 0.348 1 0.493 0.0141
557 MB-7286 19.98 0.001 0.495 0.882 0.053062 0.498 0.998 0.063 0.098 0.763 0.493 0.0038
558 MB-5576 19.99 0.402 0.495 0.543 0.619 0.571 0.923 0.464 0.444 0.728 0.493 0.1022
559 MB-0396 19.99 0.39 0.495 0 0.856 0.567347 0.88 0.945 0.99 0.958 0.493 0.0067
560 MB-5324 19.98 0.061 0.495 0.465 0.594 0.656712 0.828 0.519 0.544 1 0.493 0.006
561 MB-5015 19.98 0 0.495 0.96 0.185 0.644012 0.283 0.211 0.021 0.522 0.493 0.0259
562 MB-5392 19.98 0.006 0.495 0 0.952 0.647 0.59 0.947 1 1 0.493 0.0033
563 MB-0581 19.99 0.054 0.495 0 1 0.546334 0.575 0.938 1 1 0.493 0.0194
564 MB-5420 19.98 0.227 0.495 0.624 0.691 0.811 0.619 0.359 0.33 0.85 0.493 0.0135
565 MB-6225 19.98 0.016 0.495 0 0.925 0.624 0.761 1 1 1 0.493 8e-04
566 MB-4711 19.98 0.105 0.495 0 0.944169 0.798 0.397 0.998 0.962 0.964 0.493 0.0066
567 MB-0553 19.99 0.583 0.495 0.86 0.519 0.486 0.683 0.049 0.126 0.359 0.493 0.0474
568 MB-4671 19.98 0.413 0.495 0.525 0.784 0.157 0.578 0.462 0.358 0.72551 0.493 0.0284
569 MB-5616 19.99 0.303982 0.495 0 0.992 0.875 0.396 0.717 0.987 0.985 0.493 0.0386
570 MB-6223 19.99 0.372 0.495 0 0.893 0.926 0.398 1 0.917 0.719 0.493 0.0118
571 MB-0365 19.98 0.947227 0.495 0 0.883 0.809681 0.885979 1 0.624 0.612 0.493 0.0042
572 MB-5629 19.98 0.024 0.495 0.858 0.621 0.514 0.522 0.152 0.138 1 0.493 0.0061
573 MB-0148 19.98 0.02 0.495 0 0.92 0.944 0.439 0.402 0.938 0.929 0.493 0.0044
574 MB-3556 19.99 0.207 0.495 0.544 0.552 0.871 0.804 0.163034 0.469065 0.892 0.493 0.0203
575 MB-0352 19.98 0.017 0.495 0.646 0.612 0.576 0.833 0.414 0.33 0.755 0.493 0.0208
576 MB-5389 19.98 0.057 0.495 0.404 0.469 0.646 0.917803 0.743 0.49 0.785 0.493 0.0791
577 MB-0654 19.98 0.017895 0.495 0.613 0.357373 0.57 0.891 0.383 0.389 1 0.493 0.0185
578 MB-7116 19.98 0.435 0.495 0 0.754 0.433 0.274 0.298 1 0.818 0.493 0.013
579 MB-5017 19.98 0.359 0.495 0 0.754 0.673 0.688 1 0.663494 0.652 0.493 0.0079
580 MB-7113 19.98 0 0.495 0.936 0.183 0.371 0.35295 0.035 0.062 1 0.493 0.0019
581 MB-0171 19.98 0.051 0.495 0.682 0.388 0.453 0.95 0.221406 0.319 1 0.493 0.0135
582 MB-2977 19.98 0.001 0.495 0.769 0.193 0.555 0.969 0.151 0.232348 1 0.493 0.0073
583 MB-4418 19.99 0.714 0.495 0.813 0.348503 0.112 0.228 0.42277 0.091 0.519 0.493 0.0342
584 MB-7078 19.99 0.177 0.495 0.994 0.486 0.651 0.203 0.007 0.005 1 0.493 0.0059
585 MB-5195 19.98 0.193 0.495 0 0.834 0.604 0.22 0.989 0.721 0.70454 0.493 0.0034
586 MB-4771 19.98 0.088 0.495 0.56 0.628 0.408 0.56 0.678 0.444 1 0.493 0.0203
587 MB-0114 19.98 0.002 0.495 0.95 0.301 0.659 0.853 0.047 0.047 1 0.493 0.0039
588 MB-5351 19.98 0.149 0.495 0.648 0.659 0.599 0.817 0.295 0.31 0.865 0.493 0.0222
589 MB-5171 19.98 0.158 0.495 0.689 0.508 0.592 0.722 0.308 0.224 0.71 0.493 0.0234
590 MB-6049 19.98 0.205 0.495 0 0.942 0.804 0.61 1 1 1 0.493 0.0028
591 MB-3852 19.98 0.137095 0.495 0 0.946 0.671 0.303 0.996 1 1 0.493 0.0053
592 MB-0119 19.99 0.025 0.495 0.376 0.429 0.77 0.847 0.032 0.618 0.741 0.493 0.0085
593 MB-0220 19.98 0.009 0.495 0.838 0.405681 0.691 0.98 0.027 0.154 0.949 0.493 0.0238
594 MB-5402 19.98 0.393 0.495 0.635 0.567 0.360194 0.933958 0.564 0.368 1 0.493 0.0448
595 MB-7280 19.98 0 0.495 0.776 0.148 0.192 0.996 0.542 0.17 0.646714 0.493 0.0432
596 MB-0378 19.99 0.184 0.495 0 0.96 0.943 0.919 1 1 1 0.493 0
597 MB-7196 19.99 0.377 0.495 0 0.853 0.591 0.281 0.867936 1 1 0.493 0.002
598 MB-3002 19.99 0.006 0.495 0.929 0.345 0.654179 0.772 0.037 0.053 0.688 0.493 0.0026
599 MB-5457 19.98 0.016 0.495 0.847 0.259 0.607 0.96 0.132 0.145 1 0.493 0.0115
600 MB-6359 19.98 0.127 0.495 0.566 0.658 0.577 0.710435 0.436 0.426 0.984 0.493 0.0198
601 MB-0535 19.98 0.003 0.495 0.955 0.731 0.793 0.67846 0.143 0.034 0.729 0.493 0.0039
602 MB-0906 19.98 0.232 0.495 0 0.984 0.643 0.729 1 1 1 0.493 0.006
603 MB-6103 19.98 0.236 0.495 0 0.669 0.873 0.362439 0.167 1 1 0.493 0.0079
604 MB-5292 19.99 0.601 0.495 0 0.974 0.775 0.22 1 1 1 0.493 3e-04
605 MB-3014 19.99 0.487 0.495 0 0.967 0.728139 0.105 0.137605 1 1 0.493 0.0277
606 MB-0125 19.98 0.006 0.495 0.598 0.347 0.374 0.942 0.118309 0.406 1 0.493 0.0138
607 MB-2791 19.98 0.005 0.495 0.864 0.168 0.595 0.601 0.033 0.142 1 0.493 0.0027
608 MB-4733 19.98 0.489 0.495 0.720416 0.489 0.575 0.769 0.189 0.289 1 0.493 0.0188
609 MB-4793 19.99 0.21 0.495 0 0.987 0.599 0.279058 0.998 0.896 0.813 0.493 0.0077
610 MB-7115 19.99 0.356 0.495 0.872 0.349 0.362232 0.599 0.001 0.142181 0.693 0.493 0.0226
611 MB-4762 19.98 0.03 0.495 0.828 0.562 0.528 0.16 0.172 0.163 1 0.493 0.0058
612 MB-4667 19.99 0.888 0.495 0 0.976 0.586 0.204 1 1 1 0.493 0.0033
613 MB-7297 19.99 0.129 0.495 0.986 0.103 0.833 0.808 0.011 0.011 0.609 0.493 0.0063
614 MB-6055 19.99 0.26 0.495 0 0.784 0.736 0.754 0.589 0.979 0.904 0.493 0.0938
615 MB-5079 19.98 0.122 0.495 0.351 0.456 0.548 0.578 0.51 0.651 1 0.493 0.0392
616 MB-5093 19.99 0.459829 0.495 0.969 0.561 0.432275 0.837 0.211 0.026 0.957 0.493 0.0142
617 MB-5205 19.99 0.479 0.495 0 0.937 0.557 0.685 0.284 0.901 0.475 0.493 0.1183
618 MB-6238 19.98 0.028 0.495 0.667 0.353 0.627 0.837 0.327 0.235 0.524 0.493 0.0169
619 MB-7061 19.98 0.014 0.495 0.856559 0.38 0.657 0.948 0.167 0.141 1 0.493 0.0101
620 MB-2827 19.99 0.114 0.495 0 0.91 0.626 0.159779 0.918 0.886 0.843 0.493 0.0032
621 MB-4796 19.98 0.165 0.495 0.877 0.573 0.852 0.901 0.122 0.07 0.571 0.493 0.0073
622 MB-5160 19.98 0.142 0.495 0.839 0.128 0.345 0.609576 0.336 0.103 0.521 0.493 0.0308
623 MB-6014 19.98 0.019 0.495 0.579 0.605 0.615 0.905 0.392 0.425 1 0.493 0.0057
624 MB-7035 19.98 0.107 0.495 0.889 0.359 0.421 0.985 0.08 0.109 1 0.493 0.0084
625 MB-0507 19.98 0.063666 0.495 0.491 0.337 0.516179 0.762 0.379 0.446 0.707 0.493 0.0195
626 MB-5018 19.98 0 0.495 0.912 0.172 0.524 0.972 0.147095 0.078 0.909 0.493 0.0207
627 MB-5122 19.99 0.077 0.495 0.437 0.411797 0.441 0.916 0.51 0.397811 0.591 0.493 0.0189
628 MB-4350 19.99 0.807 0.495 0 0.971 0.376902 0.246 1 0.997 0.992 0.493 0.002
629 MB-5518 19.99 0.177 0.495 0 0.749 0.563 0.687532 0.848 0.483 0.486 0.493 0.005
630 MB-0580 19.98 0.201 0.495 0 0.95 0.702437 0.672 0.96 1 1 0.493 0.0119
631 MB-4904 19.98 0.727 0.495 0.739 0.631 0.576 0.69 0.350316 0.26 1 0.493 0.018
632 MB-3298 19.98 0.215 0.495 0.791 0.179 0.55 0.982 0.127 0.211 1 0.493 0.0042
633 MB-0288 19.98 0 0.495 0.788 0.166 0.551 0.999 0.138 0.078 0.301 0.493 0.0062
634 MB-5251 19.98 0.009 0.495 0.431 0.594 0.552 0.925 0.47 0.58 1 0.493 0.0086
635 MB-0142 19.98 0.015 0.495 0.222423 0.551 0.186 0.965 0.743 0.668 0.794 0.493 0.0218
636 MB-0109 19.99 0.522 0.495 0 0.782 0.323 0.972 0.983 1 1 0.493 0.001
637 MB-5451 19.98 0.038 0.495 0.723 0.467 0.621 0.865 0.106 0.272 1 0.493 0.0118
638 MB-0588 19.98 0.007 0.495 0.686 0.235 0.795 0.659 0.024 0.327 1 0.493 0.0059
639 MB-2922 19.98 0.71114 0.495 0 0.886 0.516 0.693522 1 0.864953 0.852 0.493 0.0082
640 MB-7160 19.99 0.596 0.495 0 0.764 0.465 0.269981 0.989 0.629 0.573 0.493 0.0223
641 MB-5059 19.98 0.093429 0.495 0.610286 0.905 0.665 0.443 0.332 0.380673 1 0.493 0.0208
642 MB-4212 19.98 0.684 0.495 0.21272 0.917 0.264 0.137032 0.866 0.79 1 0.493 0.0095
643 MB-0127 19.98 0.001 0.495 0 0.798 0.624 0.989 0.951 0.724 0.706 0.493 0.002
644 MB-3344 19.98 0.006 0.495 0.843 0.363 0.653 0.912 0.131 0.155 1 0.493 0.0034
645 MB-4993 19.98 0.458 0.495 0 0.95 0.859 0.77 0.509247 1 1 0.493 0.0316
646 MB-5116 19.99 0.259 0.495 0.464 0.468 0.416 0.766 0.672 0.345 0.581 0.493 0.0303
647 MB-3060 19.98 0.012 0.495 0 0.521 0.849 0.83 0.314 1 0.517 0.493 0.0027
648 MB-0428 19.98 0.116 0.495 0.301 0.54 0.787 0.656 0.618 0.627 0.341 0.493 0.1151
649 MB-5078 19.99 0.197863 0.495 0 0.927 0.51 0.592 0.922 0.46867 0.473 0.493 0.0064
650 MB-5409 19.98 0.753406 0.495 0 0.994 0.852 0.076 1 1 1 0.493 0.0011
651 MB-5213 19.98 0.49 0.495 0 0.976 0.643 0.462 1 1 1 0.493 0.0034
652 MB-0425 19.98 0.011 0.495 0.797 0.216 0.7 0.892 0.08 0.209 1 0.493 0.0093
653 MB-0197 19.98 0.17 0.495 0.555042 0.255 0.466969 0.953 0.304 0.351 0.53 0.493 0.0138
654 MB-5474 19.98 0.585 0.495 0 0.847 0.591 0.76 0.996 0.655 0.648 0.493 0.01
655 MB-5620 19.98 0.008 0.495 0.801 0.161 0.179 0.291254 0.627 0.135146 0.623 0.493 0.0476
656 MB-3272 19.98 0.001 0.495 0 0.619 0.854 0.892 0.626 0.656386 0.56 0.493 0.0113
657 MB-4729 19.98 0.412464 0.495 0 0.868 0.611 0.902 0.997 0.672 0.661 0.493 0.0019
658 MB-0449 19.98 0.026 0.495 0.491806 0.539971 0.741 0.877 0.672 0.522 1 0.493 0.0158
659 MB-0002 19.99 0.604 0.495 0 0.866 0.665 0.754007 0.381 0.902 0.894 0.493 0.0067
660 MB-4000 19.99 0.06 0.495 0.521 0.247 0.618 0.966 0.122 0.135 0.258 0.493 0.0129
661 MB-0302 19.98 0.009 0.495 0.911 0.198 0.617 0.804 0.059 0.054 0.566 0.493 0.0062
662 MB-0534 19.98 0.015 0.495 0.434 0.691 0.395 0.926 0.396 0.575944 1 0.493 0.0203
663 MB-0262 19.99 0.137 0.495 0.679 0.363 0.578 0.37 0.172 0.27804 0.656 0.493 0.0079
664 MB-7263 19.99 0.161 0.495 0 0.858 0.684 0.399 0.901949 1 1 0.493 0.0051
665 MB-4888 19.98 0.98 0.495 0 0.999 0.731 0.497 1 1 1 0.493 0.003
666 MB-0471 19.99 0.033 0.495 0.282 0.252 0.186 0.791962 0.906 0.566 0.532756 0.493 0.0153
667 MB-2801 19.98 0.609 0.495 0 0.746 0.684 0.702287 0.788 0.987 0.986 0.493 0.0245
668 MB-5628 19.98 0.026 0.495 0 0.913 0.737 0.46428 1 1 1 0.493 0.0047
669 MB-5311 19.98 0.003 0.495 0.556838 0.964 0.557 0.613 0.471 0.412 0.895 0.493 0.0176
670 MB-7218 19.98 0 0.495 0.892 0.155 0.684 0.999 0.047 0.061 0.527 0.493 0.004
671 MB-3389 19.99 0.239 0.495 0.695 0.238143 0.707 0.993 0.222 0.269 0.818 0.493 0.0284
672 MB-4669 19.99 0.651086 0.495 0.446425 0.795 0.531 0.222 0.598 0.479314 0.833 0.493 0.0291
673 MB-5549 19.99 0.489 0.495 0 0.91 0.859 0.524 0.999 0.631 0.517 0.493 0.019
674 MB-0504 19.98 0.01 0.495 0.492 0.35 0.58 0.897 0.414 0.517 1 0.493 0.0063
675 MB-0517 19.99 0.308 0.495 0.635 0.265829 0.442 0.92 0.443 0.19 0.456 0.493 0.0676
676 MB-0346 19.99 0.213 0.495 0 0.782 0.746 0.911 0.946 0.267 0.19 0.493 0.0284
677 MB-5097 19.98 0.093 0.495 0 0.7838 0.466327 0.817 0.664 0.681 0.665 0.493 0.0353
678 MB-4685 19.98 0.355468 0.495 0.831 0.145 0.358 0.961 0.176 0.098 0.545 0.493 0.0306
679 MB-0344 19.98 0.017 0.495 0 0.659957 0.577 0.397 0.634 0.617 0.613 0.493 0.0176
680 MB-6281 19.98 0.026 0.495 0 0.392 0.632039 0.908 0.934 0.608 0.601 0.493 0.0081
681 MB-0542 19.98 0.068769 0.495 0.511 0.362 0.801 0.711 0.239 0.432 0.762 0.493 0.0291
682 MB-7256 19.98 0.166 0.495 0 0.875 0.818 0.578 0.997 0.809 0.796 0.493 0.006
683 MB-4264 19.99 0.901 0.495 0.527 0.591 0.184 0.290787 0.79 0.261 0.518 0.493 0.0251
684 MB-7001 19.98 0.005 0.495 0.925 0.245121 0.485 0.576089 0.061 0.055 0.624 0.493 0.0064
685 MB-3271 19.98 0.071 0.495 0 0.615 0.827831 0.989 0.212 0.89 0.798 0.493 0.0178
686 MB-4375 19.99 0.827 0.495 0.579 0.669 0.468 0.458 0.453 0.268 0.536497 0.493 0.0577
687 MB-4719 19.98 0.021 0.495 0 0.364 0.661 0.979 0.534 0.415 0.421 0.493 0.0318
688 MB-0606 19.98 0.009 0.495 0.701 0.197395 0.559455 0.99 0.168 0.187 0.511 0.493 0.0124
689 MB-4266 19.98 0.578 0.495 0.843 0.6 0.568 0.748 0.612 0.091 0.519 0.493 0.0172
690 MB-4033 19.98 0.123 0.495 0 0.71 0.718 0.722911 0.972 0.673 0.658 0.493 0.0078
691 MB-6229 19.98 0.012 0.495 0.428 0.528222 0.74 0.776 0.411 0.582 1 0.493 0.0044
692 MB-0184 19.98 0.009 0.495 0.639 0.33 0.613 0.91 0.213 0.256 0.678 0.493 0.0228
693 MB-0228 19.98 0.082 0.495 0.465 0.63 0.636 0.907 0.333 0.55 1 0.493 0.041
694 MB-4024 19.98 0.366 0.495 0 0.812 0.697 0.286 0.992 0.904 0.888 0.493 0.0128
695 MB-5052 19.98 0.27 0.495 0 0.997 0.863 0.099 1 1 1 0.493 8e-04
696 MB-5305 19.98 0.013 0.495 0.662 0.313 0.569 0.942 0.284 0.195 0.502 0.493 0.009
697 MB-5070 19.98 0.074 0.495 0.493 0.625798 0.612 0.804 0.219 0.503 0.857 0.493 0.0172
698 MB-4818 19.98 0.006 0.495 0.678 0.309 0.51 0.969 0.386 0.193 0.515 0.493 0.0065
699 MB-0056 19.99 0.009 0.495 0.909 0.048 0.669 0.987 0.003 0.103 0.996 0.493 0.0088
700 MB-0265 19.99 0.002 0.495 0 0.871353 0.634 0.935 0.967 1 0.981 0.493 0.0027
701 MB-4426 19.99 0.779 0.495 0 0.944185 0.192 0.646 1 1 1 0.493 0.0012
702 MB-7114 19.99 0.799 0.495 0 0.778 0.686 0.158 0.194 0.766969 0.747 0.493 0.0777
703 MB-0593 19.99 0.001 0.495 0.37091 0.474 0.877 0.99 0.29 0.634 0.89797 0.493 0.0277
704 MB-6337 19.99 0.408972 0.495 0 0.875 0.602 0.347 0.998 0.758 0.744 0.493 0.0032
705 MB-5435 19.98 0.398 0.495 0.695 0.312 0.444 0.913 0.609 0.184 0.54 0.493 0.0173
706 MB-2840 19.98 0.366458 0.495 0.272 0.686175 0.562389 0.864 0.335 0.736 1 0.493 0.0137
707 MB-2929 19.98 0.001 0.495 0 0.836 0.829 0.834 0.972 0.854 0.746 0.493 0.001
708 MB-2900 19.98 0.561 0.495 0 0.961 0.673 0.575224 1 0.995 0.995 0.493 0.0039
709 MB-7008 19.98 0.011 0.495 0.524 0.618 0.863 0.127 0.232 0.484 0.877 0.493 0.0157
710 MB-0608 19.99 0.111 0.495 0 0.799 0.7 0.852 0.961 0.845 0.743 0.493 0.0404
711 MB-0374 19.98 0.095 0.495 0.761 0.278 0.789 0.953 0.072 0.222 0.824665 0.493 0.0068
712 MB-7281 19.98 0.383 0.495 0 0.942139 0.707 0.417 0.654766 1 1 0.493 0.0303
713 MB-5454 19.99 0.589 0.495 0 0.981 0.617 0.115 1 1 0.72 0.493 0.0025
714 MB-2712 19.98 0.005 0.495 0.925 0.081 0.756 0.995 0.053 0.071 1 0.493 0
715 MB-5296 19.98 0.657 0.495 0 0.996 0.693 0.524 1 0.997 0.997 0.493 0.001
716 MB-5044 19.98 0.011 0.495 0.915 0.038 0.714191 0.998 0.037 0.03 0.422954 0.493 0.0128
717 MB-0079 19.99 0.065 0.495 0 0.628 0.618 0.998 0.768 1 1 0.493 0.0207
718 MB-0521 19.98 0 0.495 0.861 0.145 0.578 0.952 0.107 0.113 0.732 0.493 0.0166
719 MB-7285 19.99 0.032 0.495 0 0.764 0.542 0.459538 0.923 0.953 0.95 0.493 0
720 MB-0189 19.98 0.025 0.495 0 0.87 0.649 0.601 0.41 1 0.974 0.493 0.0056
721 MB-6118 19.98 0.021 0.495 0.667 0.429 0.436 0.744 0.301 0.337 1 0.493 0.017
722 MB-7144 19.99 0.281 0.495 0 0.966 0.806 0.514 0.643 1 1 0.493 0.0039
723 MB-0140 19.98 0.002 0.495 0.5 0.164 0.387 0.64 0.471 0.317 0.59 0.493 0.0235
724 MB-5183 19.98 0.005 0.495 0.548 0.519251 0.333 0.896 0.441 0.452 1 0.493 0.0205
725 MB-0234 19.98 0.027 0.495 0.872 0.47 0.718924 0.758 0.096 0.066 0.516 0.493 0.0092
726 MB-0639 19.99 0.084 0.495 0 0.903326 0.745 0.379647 0.597 0.998 0.987 0.493 0.0306
727 MB-3026 19.98 0.001 0.495 0.803 0.187 0.747 0.884529 0.172 0.204 0.998 0.493 0.0088
728 MB-0321 19.99 0.004 0.495 0.633743 0.113 0.257 0.058 0.018 0.384 1 0.493 0.0059
729 MB-4318 19.99 0.408 0.495 0.763 0.212 0.297866 0.912 0.064359 0.158 0.617 0.493 0.0301
730 MB-5338 19.99 0.725765 0.495 0 0.860784 0.919 0.546 0.629136 1 1 0.493 0.0761
731 MB-7123 19.98 0.056 0.495 0.643 0.319 0.603 0.644 0.18 0.198 0.472 0.493 0.0175
732 MB-7128 19.98 0.025455 0.495 0.441 0.433 0.692 0.586 0.520919 0.44 0.761 0.493 0.0251
733 MB-6077 19.99 0.417 0.495 0 0.592 0.32 0.958 0.413 1 1 0.493 0.0049
734 MB-0259 19.99 0.63 0.495 0 0.958 0.592 0.721 0.941 0.952911 0.698 0.493 0.0119
735 MB-5485 19.99 0.34 0.495 0.192 0.523 0.694 0.363 0.454 0.801 0.578368 0.493 0.0444
736 MB-7138 19.98 0.008 0.495 0.54 0.270303 0.599 0.966 0.396 0.274 0.521 0.493 0.009
737 MB-5481 19.98 0.024 0.495 0 1 0.798 0.682 1 1 1 0.493 9e-04
738 MB-5499 19.98 0.041 0.495 0.867 0.153 0.343 0.953 0.173 0.104 0.63 0.493 0.0299
739 MB-5566 19.99 0.602 0.495 0 0.997 0.58 0.077 0.998 0.983 0.979 0.493 0
740 MB-0273 19.98 0 0.495 0.928 0.114 0.824 0.999 0.045 0.072 1 0.493 0.0026
741 MB-4046 19.99 0.848 0.495 0.29 0.621 0.263 0.156 0.727 0.714 1 0.493 0.0238
742 MB-0111 19.98 0.005 0.495 0.76 0.41 0.531 0.957 0.389707 0.236 1 0.493 0.0174
743 MB-0640 19.98 0.004 0.495 0.884 0.175 0.341 0.941076 0.064 0.113 1 0.493 0.0052
744 MB-5144 19.99 0.368 0.495 0 0.762 0.443 0.624 0.409954 1 0.491 0.493 0.0334
