n_profile Patient_ID Time E2F Hypoxia p53_PTEN IKK VEGF GSK_3_APC_AXIN Bcl_XL PIP3 PI3K Nutrients TH
106 MB-5497 19.98 0.488 0.495 0.815 0.41 0.607 0.898 0.032 0.171 0.921 0.493 0.048
107 MB-3403 19.98 0 0.495 0.94 0.077 0.694569 1 0.023 0.009 0 0.493 0.0052
108 MB-0361 19.99 0.478215 0.495 0 0.922 0.559 0.587761 1 0.891 0.833 0.493 0.012
109 MB-0162 19.98 0.003 0.495 0.673 0.268806 0.414 1 0.227 0 0 0.493 0.0088
110 MB-6138 19.98 0.018 0.495 0.709 0.307281 0.515 0.955 0.213774 0.294365 1 0.493 0.0254
111 MB-7205 19.99 0.144 0.495 0 0.81574 0.487262 0.853219 0.459 1 0.49 0.493 0.0688
112 MB-4598 19.99 0.462 0.495 0.643 0.593 0.361 0.591 0.301 0.357921 1 0.493 0.0406
113 MB-0392 19.98 0.046 0.495 0.963 0.133 0.866609 0.993 0.02 0.035 0.917 0.493 0.0035
114 MB-2964 19.98 0.069 0.495 0 0.91983 0.718 0.649 0.928854 1 1 0.493 0.0055
115 MB-4743 19.98 0.103 0.495 0.43 0.708 0.614 0.664 0.578 0.574 1 0.493 0.0106
116 MB-0658 19.99 0.357706 0.495 0 0.848 0.647 0.81 0.411 0.987 0.988 0.493 0.0651
117 MB-0348 19.98 0.003 0.495 0.551624 0.491 0.4 0.844 0.394 0.455 1 0.493 0.0149
118 MB-4674 19.98 0.008 0.495 0.503 0.363222 0.141 0.969 0.344 0.301 0.516 0.493 0.0251
119 MB-0205 19.98 0.004 0.495 0.697 0.381 0.646 0.92 0.295116 0.226 0.613 0.493 0.0109
120 MB-0379 19.98 0.013 0.495 0.792 0.306 0.545 0.542 0.217 0.204 1 0.493 0.0057
121 MB-4672 19.99 0.538 0.495 0.575 0.25 0.273711 0.953 0.785 0.191 0.425 0.493 0.0774
122 MB-0616 19.98 0.382 0.495 0.606 0.042 0.635 0.314 0.025 0.392 0.254 0.493 0.0197
123 MB-5179 19.98 0.247 0.495 0 0.917 0.586 0.639 1 1 1 0.493 0
124 MB-4059 19.98 0.46733 0.495 0.554 0.674489 0.968 0.468 0.448 0.454 1 0.493 0.0161
125 MB-5223 19.98 0.043 0.495 0 0.853 0.523 0.887 0.452 0.363 0.372266 0.493 0.3044
126 MB-0431 19.98 0.005 0.495 0.668 0.48 0.477 0.916 0.187 0.22 0.605 0.493 0.0129
127 MB-4616 19.98 0.105 0.495 0.482 0.439 0.289 0.951 0.504 0.526193 1 0.493 0.0287
128 MB-7093 19.98 0.027 0.495 0.644 0.38 0.616 0.902 0.26 0.36 1 0.493 0.0076
129 MB-0589 19.98 0.016 0.495 0.546 0.303 0.511 0.993 0.116251 0.428 0.518 0.493 0.0121
130 MB-4998 19.98 0.033 0.495 0.729 0.379 0.608 0.907 0.147 0.272 1 0.493 0.0068
131 MB-0366 19.98 0.005 0.495 0.758 0.388 0.82 0.86 0.747 0.166612 0.558 0.493 0.0127
132 MB-0170 19.98 0.001 0.495 0.604 0.329232 0.59 0.428 0.352 0.404 1 0.493 0.0287
133 MB-4745 19.98 0.581 0.495 0 0.991 0.91 0.497 1 0.86562 0.852771 0.493 0.0019
134 MB-7076 19.99 0.029 0.495 0.669 0.171 0.689 0.16 0.221 0.213 0.571 0.493 0.0177
135 MB-7131 19.98 0.01 0.495 0.738 0.145 0.505 0.996 0.21 0.167446 0.547 0.493 0.0131
136 MB-4300 19.99 0.621 0.495 0 0.836 0.553 0.456 1 0.995 0.987 0.493 0.005
137 MB-0066 19.98 0.057 0.495 0.532 0.465 0.718 0.909 0.525 0.476 1 0.493 0.0179
138 MB-5040 19.98 0.287313 0.495 0.875 0.279 0.48 0.98 0.092 0.105 0.815 0.493 0.0258
139 MB-5113 19.98 0.004 0.495 0.793 0.25798 0.612 0.968 0.209 0.137 0.62 0.493 0.0108
140 MB-4008 19.98 0.047 0.495 0.846001 0.241 0.615799 0.890876 0.152 0.152 1.000001 0.493 0.0197
141 MB-0420 19.98 0.446 0.495 0 0.845 0.678 0.7 0.989 0.79 0.775763 0.493 0.0117
142 MB-5260 19.98 0.335244 0.495 0.46622 0.317 0.536 0.759 0.237 0.282 0.506 0.493 0.0129
143 MB-4732 19.99 0.318 0.495 0 0.989 0.529 0.119 0.643 0.996 0.993 0.493 0.0806
144 MB-5148 19.98 0.01 0.495 0.691 0.396 0.92 0.697 0.305 0.317768 1 0.493 0.003
145 MB-5118 19.98 0 0.495 0.807 0.717 0.861 0.857 0.202 0.117 0.523 0.493 0.0064
146 MB-5519 19.98 0.183 0.495 0 0.83 0.469 0.107 0.199 1 0.669 0.493 0.0098
147 MB-5641 19.99 0.200742 0.495 0.718 0.604906 0.314613 0.528 0.316 0.291 1 0.493 0.0307
148 MB-7296 19.99 0.234 0.495 0 0.719184 0.66 0.728 0.985 0.787 0.774 0.493 0.013
149 MB-2686 19.98 0.687469 0.495 0.916 0.055 0.717 0.988 0.114 0.058 0.627 0.493 0.0093
150 MB-6178 19.99 0.191 0.495 0 0.971 0.661 0.329 0.611 0.979 0.96 0.493 0.0534
151 MB-4867 19.98 0.01 0.495 0.734 0.57 0.546 0.831 0.531 0.259 1 0.493 0.0067
152 MB-7007 19.99 0.41 0.495 0.404 0.534 0.71 0.41 0.094 0.601 0.87 0.493 0.0142
153 MB-2779 19.98 0.025 0.495 0 0.772455 0.711 0.797042 0.794 1 1 0.493 0.0067
154 MB-0591 19.98 0.017 0.495 0.602154 0.075 0.352679 0.986 0.022626 0.393107 0.514 0.493 0.0089
